"id";"title";"year";"rating";"votes"
"tt2312036";"East Los High";"2013";"7,4";"562"
"tt2879552";"11.22.63";"2016";"8,3";"46353"
"tt4789576";"The Path";"2016";"7,5";"5560"
"tt5620076";"Chance";"2016";"7,7";"4559"
"tt5520392";"Shut Eye";"2016";"7,4";"1838"
"tt5761478";"Harlots";"2017";"7,6";"1425"
"tt5798078";"Dimension 404";"2017";"6,5";"884"
"tt5834204";"The Handmaid's Tale";"2017";"8,7";"13510"
"tt2188577";"Up to Speed";"2012";"7,6";"79"
"tt2883562";"Quick Draw";"2013";"7,8";"1090"
"tt2818496";"The Awesomes";"2013";"7,4";"985"
"tt3107224";"Mother Up!";"2013";"5,4";"304"
"tt3147316";"Deadbeat";"2014";"7,6";"3426"
"tt2269658";"Doozers";"2012";"6,6";"26"
"tt3453512";"The Hotwives of Orlando";"2014";"7,5";"593"
"tt4633166";"The Hotwives of Las Vegas";"2015";"6,2";"273"
"tt4550280";"Resident Advisors";"2015";"7,0";"608"
"tt4577466";"Casual";"2015";"7,6";"4636"
"tt4676574";"Difficult People";"2015";"6,7";"1986"
"tt5788812";"Crow's Blood";"2016";"N/A";"N/A"
"tt5875646";"Freakish";"2016";"6,5";"787"
"tt1856010";"House of Cards";"2013";"9,0";"361450"
"tt2309295";"Hemlock Grove";"2013";"7,2";"29928"
"tt2189461";"Marco Polo";"2014";"8,1";"46946"
"tt3520702";"Bloodline";"2015";"8,2";"31928"
"tt2431438";NA;NA;NA;NA
"tt2707408";"Narcos";"2015";"8,9";"189481"
"tt4574334";"Stranger Things";"2016";"8,9";"312813"
"tt4592410";"The Get Down";"2016";"8,4";"16483"
"tt4786824";"The Crown";"2016";"8,8";"35943"
"tt4635282";"The OA";"2016";"7,8";"43869"
"tt4834206";"A Series of Unfortunate Events";"2017";"7,9";"26522"
"tt1837492";"13 Reasons Why";"2017";"8,6";"108953"
"tt3322312";"Daredevil";"2015";"8,7";"257159"
"tt2357547";"Jessica Jones";"2015";"8,2";"125568"
"tt3322314";"Luke Cage";"2016";"7,7";"64142"
"tt3322310";"Iron Fist";"2017";"7,1";"53332"
"tt4230076";"The Defenders";"2017";"N/A";"N/A"
"tt3339966";"Unbreakable Kimmy Schmidt";"2015";"7,9";"40632"
"tt3609352";"Grace and Frankie";"2015";"8,2";"16514"
"tt4635276";"Master of None";"2015";"8,3";"39768"
"tt4574708";"W/ Bob and David";"2015";"7,6";"2578"
"tt4061080";"Love";"2016";"7,8";"20175"
"tt3986586";"Fuller House";"2016";"7,1";"16036"
"tt4973548";"Flaked";"2016";"7,3";"7154"
"tt5228026";"The Characters";"2016";"5,3";"381"
"tt4998212";"The Ranch";"2016";"7,6";"14417"
"tt4789300";"Lady Dynamite";"2016";"7,6";"2002"
"tt5562056";"Easy";"2016";"6,8";"3890"
"tt5467814";"Haters Back Off!";"2016";"6,2";"4178"
"tt5339440";"One Day at a Time";"2017";"8,1";"2870"
"tt5580540";"Santa Clarita Diet";"2017";"7,7";"18183"
"tt6782014";"Mystery Science Theater 3000: The Return";"2017";"8,5";"1205"
"tt5706996";"Girlboss";"2017";"7,2";"6427"
"tt5707802";"Dear White People";"2017";"6,4";"9530"
"tt5770786";"GLOW";"2017";"N/A";"N/A"
"tt0243655";"Wet Hot American Summer";"2001";"6,7";"43253"
"tt5937754";"Trailer Park Boys: Out of the Park";"2016";"7,2";"434"
"tt5435008";"Gilmore Girls: A Year in the Life";"2016";"8,0";"16394"
"tt3398228";"BoJack Horseman";"2014";"8,4";"35611"
"tt4326894";"F is for Family";"2015";"8,0";"11156"
"tt4160920";"Richie Rich";"2015";"4,0";"458"
"tt4861760";"Project Mc²";"2015";"5,9";"331"
"tt5779222";"Julie's Greenroom";"2017";"8,7";"155"
"tt6928052";"Free Rein";"2017";"7,8";"66"
"tt4680240";"Club de Cuervos";"2015";"8,1";"2471"
"tt4003966";"Marseille";"2016";"6,9";"2423"
"tt5301958";"Hibana: Spark";"2016";"8,1";"214"
"tt6150576";"Midnight Diner: Tokyo Stories";"2016";"8,4";"752"
"tt4922804";"3%";"2016";"7,6";"9069"
"tt6304676";NA;NA;NA;NA
"tt6495756";"Ingobernable";"2017";"7,3";"964"
"tt5674718";"Cable Girls";"2017";"7,6";"1696"
"tt6125832";"My Only Love Song";"2017";"N/A";"N/A"
"tt1958961";"Lilyhammer";"2012";"8,1";"20582"
"tt4132692";"Between";"2015";"6,0";"5673"
"tt6588218";"Terrace House: Aloha State";"2016";"8,3";"35"
"tt4790548";"Underwear";"2015";"7,8";"323"
"tt5320160";"Degrassi: Next Class";"2016";"7,1";"1054"
"tt5023972";"Lost & Found Music Studios";"2015";"6,9";"318"
"tt5520732";"Good Morning Call";"2016";"8,2";"910"
"tt4716268";"Beat Bugs";"2016";"8,6";"208"
"tt6015820";"Bottersnikes & Gumbles";"2016";"6,6";"13"
"tt6312916";"Kazoops!";"2016";"9,1";"22"
"tt4790546";"Terrace House";"2015";"N/A";"N/A"
"tt5839454";"Paranoid";"2016";"6,8";"2348"
"tt4047038";"Dirk Gently's Holistic Detective Agency";"2016";"8,4";"15113"
"tt6038584";"Crazyhead";"2016";"7,4";"2293"
"tt4686698";"Frontier";"2016";"7,2";"4650"
"tt5421602";"Anne";"2017";"8,3";"756"
"tt6692188";"El Chapo";"2017";"8,1";"103"
"tt0944947";"Game of Thrones";"2011";"9,5";"1160013"
"tt0475784";"Westworld";"2016";"9,0";"184810"
"tt0264235";"Curb Your Enthusiasm";"2000";"8,7";"71809"
"tt0434672";"The Comeback";"2005";"8,1";"4963"
"tt1759761";"Veep";"2012";"8,2";"29147"
"tt2575988";"Silicon Valley";"2014";"8,6";"75491"
"tt2891574";"Ballers";"2015";"7,6";"22398"
"tt3766376";"Vice Principals";"2016";"7,9";"9896"
"tt6078096";"High Maintenance";"2016";"7,8";"1561"
"tt4304864";"Divorce";"2016";"6,7";"3191"
"tt5024912";"Insecure";"2016";"7,6";"3780"
"tt5295524";"Crashing";"2016";"7,8";"2809"
"tt2356777";"True Detective";"2014";"9,1";"360258"
"tt4953128";"Animals.";"2016";"7,2";"2015"
"tt1553644";"The Ricky Gervais Show";"2010";"8,2";"13266"
"tt0415306";"Talladega Nights: The Ballad of Ricky Bobby";"2006";"6,6";"138283"
"tt0389571";"Animated Tales of the World";"2000";"8,0";"45"
"tt0356302";"Stuart Little";"2003";"4,9";"198"
"tt1596589";"Angry Boys";"2011";"7,8";"3546"
"tt1043815";"Best Ed";"2008";"6,4";"56"
"tt1255913";"Bored to Death";"2009";"7,9";"28710"
"tt0866442";"Eastbound & Down";"2009";"8,3";"43787"
"tt1509004";"Enlightened";"2011";"7,5";"5701"
"tt0387199";"Entourage";"2004";"8,5";"141747"
"tt0445114";"Extras";"2005";"8,4";"43460"
"tt2340036";"Family Tree";"2013";"7,4";"2711"
"tt0863046";"Flight of the Conchords";"2007";"8,6";"45258"
"tt2342652";"Getting On";"2013";"7,7";"2441"
"tt1723816";"Girls";"2012";"7,3";"55420"
"tt2378794";"Hello Ladies";"2013";"7,5";"9799"
"tt1299365";"How to Make It in America";"2010";"8,0";"13636"
"tt1229413";"Hung";"2009";"7,2";"18917"
"tt3173854";"Ja'mie: Private School Girl";"2013";"7,3";"2880"
"tt3431720";"Jonah from Tonga";"2014";"7,2";"1350"
"tt1641247";"Life's Too Short";"2011";"7,5";"11742"
"tt2581458";"Looking";"2014";"8,2";"12365"
"tt0460619";"Lucky Louie";"2006";"8,0";"8401"
"tt0934320";"Summer Heights High";"2007";"8,5";"12271"
"tt2165141";"The Boring Life of Jacqueline";"2012";"7,8";"49"
"tt3216586";"The Brink";"2015";"7,8";"11066"
"tt0275520";"The Mind of the Married Man";"2001";"7,4";"636"
"tt1356380";"The No. 1 Ladies' Detective Agency";"2008";"8,3";"2569"
"tt1666727";"The Neistat Brothers";"2010";"8,0";"223"
"tt3061830";"Togetherness";"2015";"7,5";"6346"
"tt0413616";"Unscripted";"2005";"7,3";"354"
"tt0421030";"Big Love";"2006";"7,6";"18123"
"tt0979432";"Boardwalk Empire";"2010";"8,6";"144703"
"tt0319969";"Carnivàle";"2003";"8,5";"35965"
"tt0835434";"In Treatment";"2008";"8,3";"13457"
"tt0814164";"John from Cincinnati";"2007";"7,2";"4354"
"tt0364822";"K Street";"2003";"6,5";"217"
"tt1578887";"Luck";"2011";"7,6";"4761"
"tt0384766";"Rome";"2005";"8,8";"123100"
"tt0248654";"Six Feet Under";"2001";"8,7";"97675"
"tt0809497";"Tell Me You Love Me";"2007";"7,5";"2912"
"tt2699128";"The Leftovers";"2014";"8,2";"47380"
"tt1870479";"The Newsroom";"2012";"8,6";"86017"
"tt0306414";"The Wire";"2002";"9,3";"208731"
"tt1279972";"Treme";"2010";"8,2";"11538"
"tt0844441";"True Blood";"2008";"7,9";"208743"
"tt3186130";"Vinyl";"2016";"7,9";"16483"
"tt3920596";"Big Little Lies";"2017";"8,7";"31849"
"tt3655448";"The Young Pope";"2016";"8,4";"18077"
"tt2401256";"The Night Of";"2016";"8,6";"68830"
"tt2492296";"Show Me a Hero";"2015";"8,2";"6941"
"tt2554946";"The Casual Vacancy";"2015";"6,6";"2340"
"tt3012698";"Olive Kitteridge";"2014";"8,4";"11928"
"tt1956017";"Parade's End";"2012";"7,7";"7199"
"tt1492030";"Mildred Pierce";"2011";"7,7";"15138"
"tt0374463";"The Pacific";"2010";"8,3";"74969"
"tt0995832";"Generation Kill";"2008";"8,6";"37194"
"tt0936453";"House of Saddam";"2008";"7,6";"3035"
"tt0472027";"John Adams";"2008";"8,6";"21644"
"tt0840094";"Five Days";"2007";"6,8";"1683"
"tt0376591";"Empire Falls";"2005";"7,4";"4564"
"tt6865750";"Elizabeth I";"2017";"7,5";"37"
"tt0318997";"Angels in America";"2003";"8,3";"22684"
"tt0185906";"Band of Brothers";"2001";"9,5";"259750"
"tt0224853";"The Corner";"2000";"8,7";"3694"
"tt1520211";"The Walking Dead";"2010";"8,5";"697591"
"tt2543328";"TURN: Washington's Spies";"2014";"8,0";"14446"
"tt2543312";"Halt and Catch Fire";"2014";"8,3";"18395"
"tt3032476";"Better Call Saul";"2015";"8,7";"186777"
"tt3743822";"Fear the Walking Dead";"2015";"7,1";"75660"
"tt3865236";"Into the Badlands";"2015";"8,1";"23868"
"tt5016504";"Preacher";"2016";"8,1";"35198"
"tt3839822";"The Son";"2017";"7,5";"1891"
"tt0482857";"Broken Trail";"2006";"7,8";"4916"
"tt1043714";"The Prisoner";"2009";"6,3";"6434"
"tt1399664";"The Night Manager";"2016";"8,2";"43967"
"tt0804503";"Mad Men";"2007";"8,6";"154028"
"tt1389371";"Rubicon";"2010";"7,9";"9316"
"tt1699748";"Hell on Wheels";"2011";"8,3";"40887"
"tt2314792";"Low Winter Sun";"2013";"7,1";"5038"
"tt5363766";"Feed the Beast";"2016";"6,8";"2416"
"tt1637727";"The Killing";"2011";"8,2";"75036"
"tt0903747";"Breaking Bad";"2008";"9,5";"992636"
"tt1561755";"Bob's Burgers";"2011";"8,1";"44099"
"tt3749900";"Gotham";"2014";"7,9";"157563"
"tt3228904";"Empire";"2015";"7,8";"30754"
"tt5368542";"The Exorcist";"2016";"8,2";"14367"
"tt5164196";"Lethal Weapon";"2016";"8,0";"18080"
"tt4941240";"Star";"2016";"6,5";"1612"
"tt1826940";"New Girl";"2011";"7,7";"150161"
"tt2467372";"Brooklyn Nine-Nine";"2013";"8,3";"80881"
"tt3230454";"The Last Man on Earth";"2015";"7,4";"39649"
"tt5638056";"The Mick";"2017";"7,8";"5800"
"tt0397306";"American Dad!";"2005";"7,4";"92689"
"tt2497834";"Axe Cop";"2012";"7,4";"1467"
"tt4937942";"Bordertown";"2016";"7,7";"774"
"tt1195935";"The Cleveland Show";"2009";"5,6";"33238"
"tt3038384";"Golan the Insatiable";"2013";"6,9";"666"
"tt3012976";"High School USA!";"2013";"6,6";"368"
"tt3042900";"Lucas Bros Moving Co";"2013";"6,9";"684"
"tt0374900";"Napoleon Dynamite";"2004";"6,9";"168685"
"tt1232266";"Sit Down Shut Up";"2009";"6,0";"1680"
"tt1743880";"Napoleon Dynamite";"2012";"6,4";"2437"
"tt4798814";"Son of Zorn";"2016";"6,7";"2800"
"tt0285331";"24";"2001";"8,4";"154568"
"tt5345490";"24: Legacy";"2016";"6,3";"6898"
"tt1728102";"Alcatraz";"2012";"7,0";"36198"
"tt2654580";"Almost Human";"2013";"8,1";"42843"
"tt5542294";"APB";"2016";"7,1";"3796"
"tt0284085";"The American Embassy";"2002";"6,4";"110"
"tt2099034";"Backstrom";"2015";"7,4";"8101"
"tt0247081";"Boston Public";"2000";"7,3";"4668"
"tt1895315";"Brimstone";"2016";"7,1";"14507"
"tt0956036";"Canterbury's Law";"2008";"6,5";"528"
"tt1620950";"The Chicago Code";"2011";"7,8";"7369"
"tt0204993";"Dark Angel";"2000";"7,4";"26550"
"tt1135300";"Dollhouse";"2009";"7,7";"41441"
"tt0770521";"Drive";"2007";"7,9";"4563"
"tt0320000";"Fastlane";"2002";"7,5";"3020"
"tt1943524";"The Finder";"2012";"7,7";"12960"
"tt0303461";"Firefly";"2002";"9,1";"201826"
"tt2071645";"The Following";"2013";"7,5";"76497"
"tt0247095";"FreakyLinks";"2000";"8,3";"691"
"tt1119644";"Fringe";"2008";"8,5";"188408"
"tt0316984";"Girls Club";"2002";"5,1";"73"
"tt1327801";"Glee";"2009";"6,7";"119769"
"tt1567254";"The Good Guys";"2010";"8,1";"6421"
"tt3435532";"Gracepoint";"2014";"7,2";"4853"
"tt0460645";"Head Cases";"2005";"6,8";"97"
"tt0412142";"House";"2004";"8,8";"330079"
"tt4539954";"Houdini and Doyle";"2016";"7,4";"2087"
"tt0412148";"The Inside";"2005";"8,1";"1023"
"tt0320038";"John Doe";"2002";"7,9";"6905"
"tt0412158";"Jonny Zero";"2005";"8,5";"175"
"tt0398498";"The Jury";"2004";"6,9";"94"
"tt0759482";"Justice";"2006";"8,0";"1472"
"tt0952665";"K-Ville";"2007";"6,5";"1293"
"tt0318390";"Keen Eddie";"2003";"8,5";"1875"
"tt0460643";"Killer Instinct";"2005";"7,3";"522"
"tt1235099";"Lie to Me";"2009";"8,0";"93958"
"tt0243069";"The Lone Gunmen";"2001";"7,5";"4096"
"tt1591490";"Lone Star";"2010";"7,0";"790"
"tt1655416";"Mental";"2012";"6,2";"4318"
"tt4450826";"Minority Report";"2015";"5,9";"8474"
"tt2215717";"The Mob Doctor";"2012";"6,5";"3853"
"tt0928414";"New Amsterdam";"2008";"7,5";"6060"
"tt0409594";"North Shore";"2004";"7,0";"793"
"tt0247120";"Night Visions";"2001";"7,6";"600"
"tt0362359";"The O.C.";"2003";"7,5";"69047"
"tt0202513";"Opposite Sex";"2000";"7,5";"426"
"tt0280287";"Pasadena";"2001";"8,0";"389"
"tt1396401";"Past Life";"2010";"5,5";"373"
"tt0435576";"Point Pleasant";"2005";"7,2";"2017"
"tt0455275";"Prison Break";"2005";"8,5";"370703"
"tt5500158";"Pitch";"2016";"7,4";"4360"
"tt1587000";"Rake";"2010";"8,7";"3058"
"tt3576794";"Red Band Society";"2014";"8,0";"8206"
"tt0460672";"Reunion";"2005";"7,9";"1005"
"tt4465472";"Rosewood";"2015";"6,5";"5278"
"tt4145384";"Scream Queens";"2015";"7,2";"26999"
"tt4378456";"Second Chance";"2016";"7,6";"9756"
"tt5093452";"Shots Fired";"2017";"6,5";"1198"
"tt0364008";"Skin";"2003";"6,5";"194"
"tt2647544";"Sleepy Hollow";"2013";"7,5";"52172"
"tt0756582";"Standoff";"2006";"7,7";"1931"
"tt0247135";"The $treet";"2000";"7,2";"269"
"tt0851851";"Terminator: The Sarah Connor Chronicles";"2008";"7,7";"52477"
"tt1641349";"Terra Nova";"2011";"6,8";"72448"
"tt1821681";"Touch";"2012";"7,4";"38817"
"tt0364817";"Tru Calling";"2003";"7,5";"12743"
"tt0499591";"Vanished";"2006";"7,2";"1543"
"tt2618986";"Wayward Pines";"2015";"7,5";"43561"
"tt0361256";"Wonderfalls";"2004";"8,3";"11031"
"tt0307716";"Andy Richter Controls the Universe";"2002";"8,1";"1377"
"tt0367279";"Arrested Development";"2003";"8,9";"225440"
"tt0950721";"Back to You";"2007";"6,6";"1988"
"tt2177491";"Ben and Kate";"2012";"6,6";"4657"
"tt0285341";"The Bernie Mac Show";"2001";"6,9";"5745"
"tt1630574";"Breaking In";"2011";"7,2";"6877"
"tt1441106";"Brothers";"2009";"4,8";"212"
"tt4452688";"Cooper Barrett's Guide to Surviving Life";"2016";"6,2";"1242"
"tt0367313";"Cracking Up";"2004";"6,3";"151"
"tt2647548";"Dads";"2013";"5,5";"6275"
"tt1231448";"Do Not Disturb";"2008";"4,0";"283"
"tt2741950";"Enlisted";"2014";"7,0";"4803"
"tt0460641";"Free Ride";"2006";"7,0";"103"
"tt2244871";"The Goodwin Games";"2013";"6,7";"2444"
"tt4465368";"Grandfathered";"2015";"7,1";"5200"
"tt0280257";"Greg the Bunny";"2002";"7,8";"1341"
"tt4481322";"The Grinder";"2015";"7,2";"5718"
"tt0255734";"Grounded for Life";"2001";"7,5";"12679"
"tt0496312";"Happy Hour";"2006";"6,3";"241"
"tt1819545";"I Hate My Teenage Daughter";"2011";"5,3";"2380"
"tt0460654";"Kitchen Confidential";"2005";"8,3";"4177"
"tt0412221";"Life on a Stick";"2005";"5,5";"401"
"tt0460655";"The Loop";"2006";"7,6";"1726"
"tt0367363";"Luis";"2003";"5,4";"52"
"tt5515410";"Making History";"2017";"6,3";"1448"
"tt0212671";"Malcolm in the Middle";"2000";"8,0";"101361"
"tt0406438";"Method & Red";"2004";"7,5";"507"
"tt2211129";"The Mindy Project";"2012";"7,4";"24100"
"tt0366055";"A Minute with Stan Hooper";"2003";"6,3";"151"
"tt2753110";"Mulaney";"2014";"4,3";"2180"
"tt0247090";"Normal, Ohio";"2000";"5,9";"141"
"tt0322660";"Oliver Beene";"2003";"7,5";"553"
"tt0338647";"The Pitts";"2003";"4,7";"176"
"tt0407441";"Quintuplets";"2004";"7,1";"908"
"tt1615919";"Raising Hope";"2010";"8,0";"31585"
"tt0838205";"The Return of Jezebel James";"2008";"5,8";"426"
"tt1615926";"Running Wilde";"2010";"6,9";"2820"
"tt1361839";"Sons of Tucson";"2010";"7,2";"1769"
"tt0448303";"Stacked";"2005";"6,1";"1385"
